n,m,range,seed,seed2,seed3,mean,variance,period,chi,kp,km
26321,58972,32651,23453,20725,24787,2148675745.4986,1532061868190145267.0245,32652,2.707,0.0039,0.0032
1987,58188,56201,19915,30856,30412,2152287795.8336,1538627136955794390.7625,56202,13.3967,0.0005,0.0033
7893,68195,60302,26743,32411,19109,2153142133.3364,1530157632069919755.7047,60303,11.0604,0.0018,0.0044
20541,102416,81875,29860,28903,9903,2146903108.2639,1535083845449888499.1739,81876,7.8877,0.0022,0.0021
29123,113939,84816,1911,29469,19330,2147840449.1599,1539429617005847398.3258,84817,11.3331,0.0019,0.0016
27259,77977,50718,30453,30635,13315,2152398417.5729,1548793077051885460.2551,50719,4.9711,0.0021,0.0043
24804,108943,84139,21636,28033,3018,2150608185.5192,1533242438760446339.7793,84140,5.7652,0.0008,0.0029
17291,33172,15881,407,1504,26267,2133920579.6536,1532859283357240239.428,15882,12.4285,0.0083,0.0011
27837,72617,44780,7693,6687,16345,2141655169.865,1535471197577810842.9618,44781,5.7157,0.0032,0.0008
2933,27784,24851,30636,1038,24831,2142433799.3211,1527290494950688286.5225,24852,12.2674,0.0038,0.0041
9212,50505,41293,15064,23827,19189,2149246860.1268,1529348798920363123.5671,41294,8.0681,0.0022,0.0039
30287,41211,10924,512,8641,24464,2151216531.3155,1522414069236593607.9059,10925,5.1078,0.0028,0.0066
14230,57853,43623,3002,15104,14278,2151319474.8294,1538882756693805552.0166,43624,5.2165,0.0011,0.0028
18777,60342,41565,19884,8674,12252,2147315220.0293,1547969955611077215.7515,41566,9.0882,0.0034,0.0029
24694,87286,62592,16016,4340,24602,2137436911.7389,1544198134617901948.2131,62593,15.7425,0.0059,0.0002
27472,70661,43189,2296,10725,18695,2141389303.5863,1532209689753575945.6668,43190,9.8841,0.0041,0.001
5845,54519,48674,7862,6564,13197,2150193146.2243,1533873868177907696.365,48675,5.6961,0.0009,0.0027
4964,90684,85720,21308,20662,7069,2148205391.1314,1535270966995728174.3964,85721,11.907,0.0015,0.0018
5486,67188,61702,12300,6717,25972,2152455727.8284,1538968567719548090.1726,61703,7.1174,0.0007,0.0037
31071,81092,50021,8272,7357,30434,2156340539.9449,1533702929173176300.4488,50022,18.4229,0.0005,0.0051
17322,57853,40531,2782,12726,27074,2142321088.3943,1540445099655388824.3114,40532,8.5373,0.0056,0.0016
29356,122527,93171,20147,484,28677,2138840860.0983,1532575196959675545.4475,93172,10.1913,0.0043,0.0004
2445,11032,8587,14770,6804,9164,2151368493.9313,1531195991143306472.3274,8588,4.9984,0.0035,0.0058
28952,97189,68237,10366,5053,5360,2145001783.2503,1536300236653391619.8766,68238,10.4152,0.0022,0.0018
23640,37317,13677,17652,16809,25549,2150856503.1552,1529317645355401362.6034,13678,3.6888,0.003,0.0048
28148,91562,63414,2157,18564,10018,2148626796.3292,1536103602331149098.4814,63415,6.7478,0.0016,0.0025
21726,25535,3809,28071,19366,16660,2099934197.5953,1529161194174630225.8756,3810,10.2429,0.0248,0.0032
10286,54839,44553,16252,9060,21262,2153007246.4272,1531357444751261824.0368,44554,6.5678,0.0024,0.004
29007,62344,33337,6515,622,20297,2145955399.724,1527105540446598835.9735,33338,7.0768,0.0033,0.0035
26767,81902,55135,22283,24111,15791,2155995480.7306,1536426933353907826.996,55136,10.8214,0.0005,0.0056
22999,24561,1562,28116,10567,15157,2171328017.0525,1545690743748827317.36,1563,4.0392,0.0031,0.0181
18707,105931,87224,13782,10907,22730,2145591106.7449,1534706212597328988.0618,87225,3.5413,0.0019,0.0009
23029,109962,86933,14405,2908,29457,2152282007.5071,1533751825034508369.7424,86934,12.814,0.001,0.0031
8074,75971,67897,16661,4835,7978,2146948994.7806,1527253715061765007.8809,67898,8.2716,0.003,0.0026
18920,47663,28743,25155,19251,20858,2157552761.6821,1547271883530863593.9767,28744,9.7671,0.0023,0.0064
31991,92005,60014,29318,2410,16182,2153757532.3162,1530809797849465393.1579,60015,8.0178,0.0022,0.0041
15060,33723,18663,3826,31972,10039,2148032523.2812,1537337472344026065.5455,18664,9.5654,0.0028,0.0026
25839,71936,46097,15684,1558,12874,2156375712.5794,1535446454885107463.4052,46098,11.0871,0.0006,0.0045
27882,122336,94454,12930,7254,1149,2141803397.803,1531103119014146547.3908,94455,6.3917,0.0036,0.0007
30666,95356,64690,11213,23355,10722,2144954330.1451,1543449274776058173.8636,64691,7.9644,0.0032,0.0014
25817,79554,53737,13820,24540,2747,2147575663.1188,1533416687467307849.5589,53738,1.1159,0.002,0.0019
13460,78718,65258,5267,5141,18920,2148380437.1196,1526438034055902624.3659,65259,6.663,0.0027,0.0029
27377,125073,97696,11876,31348,5888,2147939767.9494,1536623507809938378.7052,97697,4.8722,0.0013,0.0017
10579,70787,60208,11629,4438,26948,2151251025.3503,1531586886331505176.2027,60209,10.4756,0.0013,0.0031
7213,94821,87608,2938,11530,17413,2145267393.0419,1531396969190331008.4096,87609,8.5112,0.0036,0.001
25997,97307,71310,20148,20905,23038,2141013190.264,1541459743544859269.0445,71311,10.1614,0.0039,0.0007
29622,104703,75081,30348,10869,4058,2147135737.1471,1529411070583982481.1908,75082,8.7687,0.0023,0.0019
28120,96757,68637,19605,26536,659,2147650774.4256,1543594837618785647.6718,68638,9.1983,0.0024,0.0023
15003,57989,42986,19227,31444,20269,2149930941.5443,1529991430907316993.5874,42987,4.0328,0.0024,0.0033
26056,65761,39705,31897,16626,9224,2156861081.7286,1538808754069017517.8642,39706,13.4072,0.0003,0.0045
16962,83295,66333,7755,10787,15480,2146980596.5751,1536795927901943796.9318,66334,4.3451,0.0018,0.0017
5508,44852,39344,14166,5286,28826,2160460164.4673,1533839587836550735.7323,39345,11.9164,0.0009,0.0064
22335,33455,11120,4919,12576,20371,2133130982.4273,1523520944741019229.4347,11121,7.6026,0.010,0.002
764,90047,89283,15111,26801,29205,2149517224.5952,1536038024290212008.258,89284,8.147,0.0008,0.0019
31392,116120,84728,27411,26250,13235,2149243581.4728,1534078156884711649.93,84729,6.3529,0.0013,0.0019
29942,67635,37693,28757,1676,7954,2144130995.813,1535008887862432669.893,37694,12.125,0.0033,0.0018
8515,36050,27535,4959,29713,19172,2157660965.8988,1537874123554113835.8957,27536,16.5715,0.0008,0.0064
25967,68987,43020,6497,31174,30738,2136793185.6817,1528438258779162103.0283,43021,13.7551,0.0065,0.0007
16075,56592,40517,20879,20138,12079,2153942663.8211,1534938526646688370.5134,40518,5.6847,0.0008,0.0049
26527,33138,6611,6457,16603,8956,2144098281.5336,1549831089840192816.3735,6612,7.1501,0.0079,0.005
2094,86520,84426,20051,28929,14627,2150917186.9739,1541184776861698879.3184,84427,6.7216,0.0009,0.0026
1718,83507,81789,26071,13512,25573,2149108864.7763,1533085660196101462.4591,81790,7.2549,0.0022,0.0028
28620,44152,15532,3017,29410,12417,2149035537.19,1531583982634301417.1979,15533,7.4335,0.0039,0.005
7831,16687,8856,1470,20584,31288,2151532210.1886,1562359625419394692.9616,8857,9.0227,0.0081,0.0082
14872,51947,37075,12616,7166,2330,2135431355.6685,1540876550575120893.9058,37076,8.6531,0.0084,0.001
24425,82853,58428,15335,30712,30173,2145510502.6342,1535696804871864315.3898,58429,3.8092,0.0024,0.0011
10389,79128,68739,9970,91,6680,2143202513.7796,1533905480652378620.0696,68740,8.3747,0.0033,0.0009
30671,81774,51103,350,31736,8961,2144672843.2661,1529771452324644702.2938,51104,6.2916,0.0034,0.0016
19514,54570,35056,8906,9569,15179,2156630681.8841,1526735196552909871.673,35057,21.6216,0.0019,0.0077
26329,83981,57652,24333,32158,27173,2150862488.9364,1545342673596174552.7089,57653,8.1658,0.0021,0.0029
18387,25829,7442,4516,22874,16785,2102469942.5175,1533111243037865287.7193,7443,19.5215,0.0207,0.001
14105,44177,30072,3933,30039,19860,2144475108.9035,1542536309286364684.5569,30073,4.6274,0.0051,0.0028
26748,70973,44225,17203,2053,19547,2153767809.702,1543290778114970274.7816,44226,11.0504,0.0015,0.0054
11503,57553,46050,17171,26244,4725,2140400682.8279,1537636921077623822.7569,46051,4.9382,0.005,0.0006
25143,71185,46042,15822,32046,804,2146492216.1477,1539989882873480107.3814,46043,10.3378,0.0034,0.0024
