n,m,range,seed,mean,variance,period,chi,kp,km
9185,40808,31623,18760,2166051555.3558,1530229771615770472.639,31624,13.8189,0.0009,0.0091
29230,42968,13738,22986,2170230853.9577,1535003662009435860.18,13739,14.291,0.0004,0.0118
77,53474,53397,1136,2147082976.3564,1539026946659147009.6849,53398,4.7468,0.0014,0.0012
3698,92155,88457,11671,2158657921.3565,1528691208288536400.8693,88458,21.4823,0.0002,0.0051
25260,83067,57807,14269,2147677322.2916,1538299438152511484.3203,57808,9.9871,0.0018,0.0018
31921,68537,36616,29422,2133376357.2261,1528491742186238377.7149,36617,14.5448,0.0061,0.001
15981,102755,86774,7143,2139132546.6698,1542207148673733620.6394,86775,15.9509,0.0031,0.000
6574,71389,64815,18597,2142726854.7027,1538896009948677614.1208,64816,3.479,0.0029,0.0006
31564,113785,82221,32156,2163845381.2137,1539588476629847553.122,82222,19.169,0.0002,0.0059
13158,85303,72145,18656,2146548515.0406,1534372226202611101.0493,72146,7.1017,0.002,0.0014
12142,62559,50417,6541,2142257146.0938,1538783050202163525.9077,50418,8.6793,0.004,0.0009
21153,53404,32251,3757,2170934272.5944,1547627199309710034.1737,32252,17.329,0.0005,0.0088
9443,51441,41998,3078,2162190276.4178,1543334980581712557.672,41999,13.7865,0.000,0.0073
1148,34328,33180,2388,2149644979.6538,1539700624314800594.6935,33181,12.0185,0.0029,0.0039
15058,67169,52111,21217,2143199192.7963,1528710164889229029.4269,52112,7.6681,0.0029,0.0021
23890,42480,18590,24288,2139533805.7641,1543096619992953176.3923,18591,6.4651,0.0065,0.0025
3474,99723,96249,13806,2159265576.8733,1545562427696054148.6611,96250,13.7678,0.0005,0.0052
24402,66587,42185,15462,2149263966.505,1535354722371402167.9621,42186,1.8819,0.0015,0.0027
6005,79524,73519,22408,2140086578.6926,1533077655376686035.6347,73520,7.1759,0.0032,0.0001
21317,42161,20844,8931,2142880391.051,1524465311233358213.6958,20845,6.0701,0.0044,0.0028
9937,51703,41766,2062,2157278314.6671,1528865969748869088.3254,41767,7.7801,0.0003,0.0052
10406,96074,85668,23172,2142835438.3639,1543997113448830934.3547,85669,12.8403,0.0027,0.0008
17108,24889,7781,6296,2158101299.0014,1536239371632157049.3306,7782,4.2428,0.0035,0.006
17364,86824,69460,17912,2150300043.3346,1535171124153676774.9637,69461,3.3787,0.0006,0.002
25667,56282,30615,14134,2146982191.5549,1525509093812924335.8921,30616,14.382,0.0027,0.0046
28893,98061,69168,1552,2151269055.0685,1544539216138393240.302,69169,8.2532,0.0016,0.003
11146,66207,55061,7250,2152801902.022,1534107355574233526.2469,55062,6.6278,0.0005,0.0034
32198,107149,74951,4945,2141552041.3732,1529636331042664914.4892,74952,6.0658,0.0037,0.0006
27736,114107,86371,23450,2141832128.444,1541128996261558098.8039,86372,6.0086,0.0033,0.0004
3906,71325,67419,24290,2152162053.2398,1540191136601869260.1775,67420,15.0555,0.0019,0.0033
31822,36204,4382,15627,2162360681.9676,1556242968385650135.9634,4383,10.3286,0.005,0.0116
19707,21218,1511,6514,2106258849.5635,1515431688500495105.1666,1512,13.1401,0.0258,0.006
24279,89617,65338,6990,2162875956.3108,1532753532122745762.6866,65339,18.3513,0.0001,0.0059
29995,68233,38238,9814,2140957694.6016,1541364068158694715.6355,38239,7.1073,0.0041,0.001
1594,13232,11638,2653,2157192370.5581,1529308436204576244.9463,11639,10.3837,0.0029,0.008
8313,99934,91621,15516,2154076321.3764,1545399124878676760.1472,91622,6.0487,0.0005,0.0033
19677,75412,55735,24859,2148208890.4792,1545159601460676439.6216,55736,10.8138,0.0023,0.0022
4115,18300,14185,2500,2150151244.3541,1519602422075945668.687,14186,4.7452,0.0028,0.0058
31623,118431,86808,12489,2138533285.87,1546372819341236860.8457,86809,19.5451,0.0047,0.0008
8663,21539,12876,23640,2131562420.192,1547476819229128544.7334,12877,6.711,0.0086,0.0004
26944,121468,94524,12783,2142817382.922,1534147393817507485.8766,94525,5.5176,0.0028,0.0009
28565,94503,65938,21974,2141882655.2372,1523409905723527509.3435,65939,12.8701,0.0046,0.0016
9449,46532,37083,29353,2133964582.3877,1544615309596335259.3442,37084,13.4429,0.0069,0.0002
27075,113076,86001,9484,2153969437.7393,1538283924398201412.805,86002,6.1935,0.0002,0.0028
4065,18486,14421,12583,2140049327.9682,1546127323963377300.5506,14422,8.5027,0.0093,0.003
18209,71929,53720,26474,2132071057.4582,1528269560322545801.4937,53721,16.0035,0.0063,0.0001
1061,29306,28245,29269,2150259660.3434,1549784154532268205.1384,28246,3.668,0.003,0.0039
21981,92545,70564,32198,2154337741.0851,1545316535436644701.6815,70565,8.8379,0.0008,0.004
9283,76047,66764,30791,2151735077.4371,1539389782696613956.3004,66765,19.2158,0.002,0.0031
17539,73627,56088,21130,2137383293.8877,1536949446727329280.0719,56089,10.0819,0.005,0.0007
1044,89995,88951,28991,2140111832.1488,1544860283826002972.2953,88952,16.8573,0.0048,0.0005
9294,41299,32005,9075,2160866982.7438,1536569981982431722.079,32006,17.0378,0.0004,0.0076
5793,35855,30062,195,2159611472.8214,1535236083461332106.8739,30063,4.8101,0.0013,0.0069
17514,63073,45559,11886,2148772141.7174,1538992774784810150.5557,45560,6.2603,0.0016,0.0025
29796,109383,79587,28523,2151637032.1177,1527557904484356502.8639,79588,3.9917,0.0016,0.0032
14352,27221,12869,21698,2156827220.2695,1555540762706214398.0967,12870,11.4472,0.0032,0.0072
20856,21706,850,26968,2200188760.436,1624973329295224312.9956,851,9.5844,0.0143,0.0364
20244,98474,78230,27160,2151244426.7195,1537036929189965453.3981,78231,10.2862,0.0008,0.003
8816,48886,40070,13509,2150082567.683,1546515372300320790.5641,40071,6.9877,0.0027,0.0038
16713,96165,79452,17305,2135537592.9867,1538648465677112832.1517,79453,11.2235,0.0044,0.000
15747,85375,69628,11452,2153100487.2199,1544164636070365255.4891,69629,10.5883,0.001,0.0038
2234,26368,24134,18511,2153896127.1541,1539711575725939010.053,24135,8.1034,0.0019,0.0057
23453,24016,563,20593,2131810671.3865,1503698126494349665.9676,564,5.2028,0.0199,0.016
28932,38124,9192,5515,2162968561.7839,1512268109438064361.8135,9193,10.4093,0.0029,0.0106
30942,55164,24222,1106,2139292397.2688,1555127801965928749.7797,24223,13.596,0.0074,0.003
30971,96663,65692,31649,2158955766.0895,1536068511078454370.3672,65693,11.1216,0.000,0.0044
17102,54870,37768,15472,2148820187.2596,1542166036448072224.9579,37769,4.995,0.0026,0.0028
9228,65704,56476,24241,2151521306.2818,1538291537207162148.5572,56477,8.7637,0.0012,0.0038
29242,77515,48273,3406,2146229408.0404,1552590927796191555.7501,48274,8.5151,0.0033,0.0025
15172,57634,42462,9915,2138493621.553,1524093527519475613.2872,42463,9.2071,0.0054,0.0014
24020,38084,14064,19210,2157692513.8049,1531329329360305736.9141,14065,8.081,0.0017,0.0061
20239,61244,41005,32421,2154661040.9361,1552657034201446499.7362,41006,11.3131,0.0016,0.0054
14377,74103,59726,16782,2134883679.6334,1537598741214555478.0086,59727,21.710,0.0056,0.000
1036,27819,26783,27689,2151158674.6804,1543512457342126620.8853,26784,7.1049,0.0021,0.0039
18188,45713,27525,7648,2135849853.5115,1558553262215881883.0475,27526,14.0919,0.0078,0.0025
6451,94893,88442,2418,2150494373.1114,1537266186520648064.0124,88443,10.518,0.0006,0.0019
19340,102617,83277,12787,2143430742.6852,1545810447669183668.7256,83278,16.643,0.0034,0.0023
32350,55175,22825,4062,2146737059.1117,1533616362457777635.8873,22826,8.390,0.0041,0.0027
30821,49677,18856,25505,2143327264.7682,1541138490984108029.8652,18857,2.8202,0.0041,0.002
234,58091,57857,8889,2143094593.888,1536595666853083751.338,57858,7.898,0.0036,0.0013
18549,113980,95431,19339,2141553766.9283,1533266988649990008.5721,95432,13.6619,0.0037,0.0005
14744,50817,36073,29683,2145087204.3033,1535308232387581090.0207,36074,7.1614,0.0034,0.0018
30964,56947,25983,8358,2151710793.8251,1531287764690005034.0753,25984,8.7384,0.0042,0.0048
19322,71564,52242,1033,2141714199.1646,1529974358332622384.0379,52243,12.1593,0.0041,0.0012
9307,72036,62729,2626,2154294631.4368,1531362113960932410.7628,62730,10.2995,0.0007,0.0041
7886,69033,61147,16736,2133741452.2133,1538438061699946351.1908,61148,14.6951,0.0052,0.0002
19096,72007,52911,24333,2143384694.0999,1548004045932613954.9835,52912,11.4483,0.0036,0.0012
8108,88982,80874,2023,2133946938.1934,1539517411369228489.8497,80875,19.6613,0.0049,0.000
3186,31333,28147,18779,2155956250.2446,1562316045974256214.7138,28148,16.2757,0.0037,0.008
17104,101434,84330,12219,2148780639.3584,1534600436018117774.8505,84331,8.6388,0.0017,0.0023
18712,88064,69352,2932,2156065730.1617,1530412255202878790.6535,69353,11.5937,0.0004,0.0037
18355,36369,18014,22511,2139006213.7382,1522472362227632399.3732,18015,8.3561,0.008,0.003
26833,28758,1925,17246,2151914243.6682,1571672197827583687.2165,1926,8.9169,0.0102,0.0133
7756,69358,61602,25287,2142968189.8847,1538088235020487680.7526,61603,4.0503,0.0027,0.0006
20282,39954,19672,3047,2155348404.9293,1527657411620828978.3324,19673,6.2406,0.0018,0.0063
16737,104775,88038,26900,2143475879.3181,1538837633241001085.5616,88039,5.7008,0.0026,0.0006
27266,99819,72553,19143,2157678888.1948,1531319913823081168.458,72554,20.7059,0.0005,0.0046
5282,69912,64630,26298,2148474119.3442,1540994179367248575.5942,64631,8.2666,0.0024,0.0022
5178,57915,52737,7562,2140301129.3011,1552011026577417107.2268,52738,18.0016,0.0045,0.0019
8612,67409,58797,19614,2159570545.3209,1530774658593505882.4371,58798,11.7939,0.0004,0.0052
19608,35081,15473,22245,2158731125.7466,1542793859159376341.705,15474,4.5158,0.0009,0.0068
2800,83891,81091,19244,2143846886.0453,1542717117005251936.3316,81092,12.7985,0.0032,0.0012
21606,99096,77490,7689,2141215946.5825,1532175259098890214.8824,77491,6.7481,0.0031,0.0005
4512,76027,71515,23205,2149370320.6885,1530985078896954250.8831,71516,4.6441,0.0015,0.0023
12186,70097,57911,32744,2147400989.9401,1523901227747370544.1273,57912,12.0145,0.003,0.0026
1007,1622,615,5989,2174586896.2273,1608341674408358506.1107,616,6.898,0.0191,0.0308
4527,104120,99593,15970,2143678873.967,1539852388760844537.5905,99594,11.8639,0.0024,0.0009
25441,56772,31331,18186,2159672939.7168,1534422606143179961.1347,31332,8.9546,0.000,0.0068
8332,86435,78103,994,2143728725.2253,1543490827832688514.6496,78104,6.353,0.0031,0.0015
10301,74025,63724,23161,2136998742.675,1524221421133253187.2561,63725,11.6957,0.0064,0.001
400,60757,60357,28812,2143693360.8435,1539154751663970412.9911,60358,5.5697,0.0025,0.0009
18357,99153,80796,29206,2146049581.4931,1536621773869381906.2125,80797,6.3907,0.002,0.0016
23665,48127,24462,10410,2155467310.9861,1532936186871760345.5881,24463,10.9369,0.0014,0.005
28192,111295,83103,15120,2150116619.8912,1533314333129927358.3649,83104,5.3847,0.0014,0.0025
27511,112889,85378,8896,2140799057.0957,1531473431375130166.4812,85379,11.4369,0.004,0.0009
17515,89285,71770,8931,2150147543.1323,1528424511776649412.9352,71771,10.9435,0.0016,0.0027
14426,103046,88620,16397,2151374459.3341,1551489022731270528.2786,88621,15.0292,0.0022,0.0043
14192,73911,59719,30116,2143937668.1462,1547052045451680040.7672,59720,8.6587,0.0036,0.0016
2615,25307,22692,27975,2144809183.3061,1537736545555524419.2601,22693,6.5707,0.0031,0.0018
32731,45461,12730,12932,2143743786.8461,1552963778921784916.1146,12731,4.1909,0.0047,0.0031
6147,32183,26036,9692,2140631443.6359,1548809118432895785.0567,26037,13.3796,0.0046,0.0026
23007,76331,53324,29869,2149795755.6387,1538824343030909771.5961,53325,9.1383,0.0017,0.0025
18270,21621,3351,12172,2148562063.1468,1559768459939578867.5859,3352,3.6189,0.0074,0.0092
25397,51074,25677,757,2161240928.1739,1530313127784556317.3251,25678,13.7161,0.0016,0.0066
21144,54327,33183,15227,2150416320.6977,1542091446795475330.4954,33184,2.6339,0.0017,0.0025
13984,109408,95424,24504,2138374687.8993,1536303024280325258.9022,95425,7.9098,0.0032,0.000
21156,75850,54694,24460,2145163081.4173,1534624759661876899.4296,54695,3.5314,0.0028,0.0014
1591,76615,75024,18324,2149229673.8896,1545508916203729019.1252,75025,8.4696,0.0021,0.0024
1513,47142,45629,18830,2150278505.3177,1536231207372940150.3045,45630,3.2352,0.0014,0.0026
21916,121353,99437,16286,2151571128.3368,1537403408267187374.3492,99438,7.5128,0.0007,0.0024
22983,85269,62286,23630,2156788808.8238,1532017554848413392.826,62287,14.3972,0.0007,0.0064
16696,22681,5985,32374,2157046126.483,1549213612858893272.8695,5986,10.5212,0.0055,0.0101
18929,115483,96554,18923,2136138219.003,1537095067416790377.3315,96555,27.4057,0.004,0.000
16479,88286,71807,15997,2144854518.7299,1538372593178506597.6178,71808,13.527,0.0026,0.0016
21973,51168,29195,19342,2143389675.0131,1521674839714737182.1148,29196,11.0405,0.0049,0.0027
12542,36777,24235,19973,2154470748.0701,1528685270700272152.8113,24236,6.366,0.001,0.0048
32471,55452,22981,31140,2149909407.8065,1529482258744685889.4125,22982,5.6613,0.0028,0.0053
10466,11964,1498,13472,2173086854.006,1506238239057258493.543,1499,9.3233,0.0083,0.0203
15384,51904,36520,6209,2145802462.7434,1536543509899895136.2634,36521,7.3862,0.0027,0.0023
31469,86917,55448,6653,2144835264.894,1534291635118207964.581,55449,3.7737,0.0023,0.0013
20949,64169,43220,10789,2156574100.3461,1534360390844432603.5075,43221,8.6938,0.0006,0.005
9184,36171,26987,810,2134915520.0857,1533345351007199669.6867,26988,10.0486,0.0062,0.0008
1182,10840,9658,28264,2160037281.7703,1539437521434117258.3074,9659,8.0067,0.0017,0.0115
8029,88360,80331,17192,2145440684.3733,1539295351398293650.1647,80332,8.4082,0.0022,0.0022
9292,26052,16760,16886,2145345753.4258,1508013900627396971.8794,16761,13.5505,0.0066,0.0056
10285,85758,75473,24996,2157163447.6161,1526138114607108162.5272,75474,19.6956,0.0014,0.006
2608,46872,44264,1753,2133195206.8028,1537526155983812939.8182,44265,10.9186,0.0058,0.000
15013,37036,22023,20629,2158771077.9337,1534405124231362788.4731,22024,6.0239,0.0004,0.006
11807,12716,909,18804,2105641180.8495,1534936394483977005.4224,910,16.0787,0.0314,0.0089
4192,94325,90133,18066,2152451556.5177,1538110614954047887.9351,90134,6.1592,0.0001,0.0022
18832,29414,10582,25372,2137362703.4759,1528261792230516078.9492,10583,2.6036,0.0071,0.0022
26705,109326,82621,22490,2136809084.1718,1544459573273937880.8586,82622,14.076,0.0051,0.0001
22161,119504,97343,9290,2146831747.3646,1526993031323186812.7537,97344,12.8119,0.0025,0.0022
10361,44446,34085,16010,2122843704.6734,1546226910520590618.8661,34086,22.165,0.0095,0.000
5969,50238,44269,2698,2147853467.7556,1541469085007595028.7633,44270,10.6495,0.0019,0.0021
1824,77519,75695,6177,2158051732.964,1532386071419593001.605,75696,18.2966,0.0011,0.006
19483,54256,34773,24412,2157784119.7858,1531394679257463796.9575,34774,22.4524,0.001,0.0085
26753,57769,31016,9388,2123904639.4929,1535203126419131141.9943,31017,18.4283,0.0097,0.0004
16827,20773,3946,5126,2153906402.2316,1544394371128715638.5534,3947,8.4834,0.0047,0.0079
24800,96138,71338,25556,2156606149.7361,1543146535943593369.0959,71339,7.5162,0.0008,0.0038
14909,65293,50384,19720,2140312545.1256,1550560916982330776.447,50385,14.8235,0.0049,0.0017
25832,103567,77735,26974,2150408816.3612,1541079610821678749.8688,77736,8.8694,0.0013,0.0025
22703,98068,75365,26708,2143887558.5279,1546927294687706641.4813,75366,13.7254,0.0028,0.0018
4383,79278,74895,26247,2139528925.7405,1532382820945868821.3675,74896,10.3657,0.0038,0.0004
31268,85391,54123,29694,2152071287.5414,1549472219136783863.8196,54124,8.7643,0.0015,0.0038
19416,102682,83266,12121,2150427026.5898,1542437136244894942.3782,83267,3.6946,0.0007,0.002
22997,35967,12970,389,2133015238.8637,1547658294531516608.0075,12971,5.4014,0.0072,0.0027
32210,89284,57074,14337,2149433312.3869,1545284930299830675.6436,57075,5.3183,0.0017,0.0033
5021,87083,82062,24836,2147114618.9675,1540716665318525651.2818,82063,10.0838,0.0015,0.0013
11189,83269,72080,13695,2142263067.2744,1540511918749412273.6949,72081,2.6452,0.0027,0.0002
18516,63731,45215,20624,2143549312.7031,1531640043695297104.2675,45216,9.6479,0.0032,0.0011
27250,50362,23112,6172,2155104167.9486,1519701314291529722.6693,23113,6.4529,0.0028,0.0067
849,28264,27415,28151,2150670321.7142,1531220862995230914.7375,27416,6.4766,0.0019,0.0045
11444,24587,13143,6073,2143123665.4537,1567459214983314711.6745,13144,12.6465,0.007,0.0053
16754,98622,81868,25587,2156067232.6092,1530494331069806230.6035,81869,20.8221,0.0005,0.0036
9516,96162,86646,8849,2143044459.8128,1537938241761920885.5022,86647,4.9135,0.0025,0.0005
8550,40676,32126,32149,2167407614.2473,1543891787559352270.8178,32127,15.515,0.0004,0.0095
31293,76756,45463,22778,2142282745.9652,1545167670041593199.4518,45464,5.7293,0.0037,0.0017
12699,67346,54647,30711,2151222327.182,1532702945655798994.1565,54648,1.6253,0.0008,0.0026
17826,96787,78961,14098,2147623593.77,1534952610429436771.1982,78962,10.7349,0.0013,0.0018
22479,116471,93992,9574,2146489644.0567,1536513976809693016.357,93993,7.7797,0.0021,0.0014
4103,56429,52326,4784,2152006957.432,1539187040422178385.5884,52327,9.8526,0.001,0.0042
1561,69076,67515,876,2150669827.1129,1543324923676041431.0743,67516,8.1256,0.0017,0.0023
17957,99527,81570,26412,2149294135.2203,1536985405251082162.5559,81571,1.855,0.0007,0.0018
18490,77802,59312,32466,2134925345.3233,1539136842298422588.1087,59313,13.6155,0.0059,0.0001
20861,76487,55626,10788,2146914197.7816,1533729642904267611.3569,55627,5.6869,0.0028,0.0018
27268,78380,51112,18533,2145367208.9945,1546486500378845958.5252,51113,7.513,0.0026,0.002
11211,72701,61490,30538,2163447547.6026,1535207308139573740.1507,61491,19.8295,0.0001,0.0068
19376,22957,3581,18957,2154413146.7909,1552084495858354187.7114,3582,11.7149,0.0074,0.0126
21299,21657,358,24845,2008655516.6435,1463194626210330564.5637,359,9.9682,0.0563,0.0034
27511,112964,85453,1693,2148924306.9523,1538412490271806805.5153,85454,19.0479,0.0018,0.0034
29528,63113,33585,27206,2171763093.4508,1536779700678625100.1698,33586,17.7222,0.0002,0.0086
28683,112731,84048,4398,2150301163.1176,1541253235869278168.7783,84049,10.5104,0.0017,0.0024
10076,68041,57965,17363,2132046790.8158,1533731250368370193.4894,57966,17.2506,0.0066,0.000
4183,56643,52460,25437,2154918324.407,1537762932549287034.6641,52461,10.6823,0.0008,0.0046
11299,35377,24078,19277,2159905934.9737,1547360908287781942.6994,24079,6.6087,0.0016,0.0068
26887,67982,41095,4625,2154211437.8928,1534866984992328004.8019,41096,8.7781,0.0013,0.0031
20994,105332,84338,9212,2162546270.8677,1535085524489637540.9412,84339,28.5554,0.000,0.0059
11093,70291,59198,4180,2163795498.7254,1533123821419151042.643,59199,17.4789,0.000,0.0067
17970,86497,68527,21112,2151483508.7048,1538730637281493804.1439,68528,9.5407,0.0013,0.0038
5915,13627,7712,3887,2160614754.4323,1530146958542911695.2536,7713,8.1971,0.0025,0.0112
11626,24691,13065,18738,2128385478.8859,1529407398569163506.5702,13066,17.9414,0.0114,0.0027
17871,66497,48626,20016,2165335113.8296,1539974199695917794.1121,48627,16.3582,0.0002,0.008
22055,99641,77586,14724,2146242977.9873,1534050246519427116.4216,77587,4.503,0.0028,0.0014
25243,58770,33527,32267,2129730558.4435,1544763105445139377.6529,33528,17.2168,0.0077,0.0003
20559,38801,18242,13288,2169122297.2889,1530665151084495725.1745,18243,26.8031,0.0002,0.0094
2715,100033,97318,30849,2146462609.3967,1533750949557476816.4457,97319,4.1221,0.0017,0.0009
10691,102841,92150,30147,2145146255.0761,1538671453184909390.6729,92151,5.4332,0.0019,0.001
4415,17419,13004,832,2162127823.2917,1532179166395348124.6077,13005,5.8127,0.0023,0.0083
14587,16882,2295,7540,2154724512.0784,1577462149503505283.4137,2296,10.7468,0.0092,0.0127
1244,4927,3683,24971,2163258299.2025,1561518103101187430.8195,3684,3.7886,0.0052,0.0112
16722,94310,77588,17177,2153882979.979,1539671963307052511.9531,77589,9.8953,0.000,0.0026
23994,115695,91701,3165,2143367833.0635,1536619512900239359.5206,91702,11.9069,0.0028,0.0007
23537,54293,30756,1808,2143039271.8961,1524171987640308377.5276,30757,13.1134,0.0052,0.003
26728,28789,2061,10221,2144686922.7338,1581259610049882564.6794,2062,16.4591,0.0178,0.0134
1206,43507,42301,29416,2149678154.0542,1536526846078177038.6877,42302,9.8851,0.0023,0.003
3588,87729,84141,23624,2149489057.9809,1534073522030365340.17,84142,5.5546,0.0008,0.0024
22837,39678,16841,32440,2135460299.4822,1570466554497849584.4784,16842,22.4075,0.0094,0.0039
5958,16656,10698,18425,2145790027.5323,1513907271243867358.5402,10699,2.3679,0.0072,0.0049
28680,42301,13621,22528,2147533348.4438,1537278032665028817.1394,13622,5.7807,0.0034,0.0031
5005,26013,21008,20292,2149892275.9562,1525262854185702446.0831,21009,5.416,0.0038,0.0039
9005,100596,91591,5051,2152075029.5418,1540099834848358161.5306,91592,3.4039,0.0002,0.0023
2698,25547,22849,8187,2157949450.1207,1537617701700434457.9228,22850,4.6255,0.0005,0.0048
21005,34817,13812,5329,2169472569.0077,1531023210074115843.6049,13813,9.0759,0.0021,0.0109
28009,61901,33892,25284,2158170858.7517,1549227728289813580.3415,33893,13.0963,0.0018,0.0062
21755,89667,67912,22624,2147528387.8138,1537334968957199348.969,67913,7.4582,0.0019,0.0012
25889,75943,50054,3299,2159802188.2817,1541287774398989689.2937,50055,13.2184,0.0002,0.007
16733,72165,55432,4638,2143336488.5427,1540203149388635756.4803,55433,11.6018,0.0026,0.0012
10551,37750,27199,1264,2142423090.4412,1526097935888019816.4842,27200,11.3461,0.0043,0.0023
18260,112185,93925,2490,2145103340.5872,1529256536515781548.7085,93926,7.288,0.0028,0.0016
22179,118583,96404,11469,2166181808.0032,1538220138470031516.5087,96405,38.4588,0.000,0.0087
25985,106382,80397,16270,2143356119.6735,1546069160680322463.9634,80398,9.6045,0.0035,0.0014
8588,32956,24368,13748,2134102506.1416,1549359037274307096.7575,24369,17.2233,0.0083,0.0002
6584,75263,68679,6958,2147136824.3359,1541574884661079718.2388,68680,8.705,0.002,0.0023
4630,103674,99044,12568,2152711842.4758,1540988629653797242.2274,99045,9.8859,0.0005,0.0026
17711,57082,39371,26285,2145648580.0986,1542461082425226523.3504,39372,3.9659,0.0025,0.0012
15971,65756,49785,9355,2135428075.6586,1531940081767064874.4476,49786,8.9042,0.0047,0.0004
31345,110010,78665,20476,2144474598.9144,1533466665262880323.9231,78666,1.5553,0.0024,0.0007
24994,42756,17762,9515,2131479697.7554,1542951448465005246.4629,17763,10.2321,0.0076,0.0003
25655,53623,27968,7126,2156814844.7065,1543737189411893069.9809,27969,10.2904,0.0005,0.0052
11477,93346,81869,3674,2143338814.789,1541626605811951652.2729,81870,7.498,0.0032,0.0009
23904,89763,65859,4877,2150010222.154,1530362586057298159.8071,65860,6.5734,0.0016,0.0023
27305,28182,877,10655,2095820699.9282,1497881230278202802.545,878,5.3731,0.0262,0.0047
11228,29622,18394,15253,2132635508.5999,1534521479639698836.9229,18395,9.5054,0.007,0.0003
24228,108635,84407,4286,2154619561.8922,1534068501392498418.7757,84408,9.6978,0.0008,0.0045
1045,85863,84818,8025,2154656258.243,1539566054068055807.6229,84819,14.7135,0.0001,0.0038
17075,89756,72681,15672,2154858252.8402,1543364595465372466.521,72682,6.3884,0.0013,0.0033
26123,67656,41533,13810,2140899892.4389,1543551025991246967.9247,41534,5.0319,0.0039,0.0009
26780,29684,2904,10123,2180828480.4816,1530493687273629273.8214,2905,10.2167,0.0003,0.020
19159,68260,49101,13493,2149624044.3616,1523643527152123932.9225,49102,15.3078,0.0026,0.0037
2306,26759,24453,1451,2151299568.2251,1554491456300879207.2602,24454,9.8172,0.0031,0.0048
21578,103466,81888,566,2151025288.8241,1539171949109363556.1476,81889,4.5151,0.0009,0.002
19391,41288,21897,2617,2147869672.6417,1544218889298747466.2271,21898,21.9944,0.005,0.0038
17768,53819,36051,1172,2140166246.1593,1532894970048445150.5942,36052,10.8052,0.0039,0.0008
25325,112041,86716,30571,2157970510.7551,1531786899755483494.4544,86717,12.9072,0.0002,0.0044
16171,58343,42172,20858,2158541307.6477,1533824870201518890.7558,42173,8.9104,0.0001,0.0055
21681,52920,31239,22316,2155520497.0288,1544377017217022215.7238,31240,5.2935,0.0009,0.005
15492,59343,43851,12537,2132349354.8255,1537372291014660117.4521,43852,12.4262,0.0057,0.000
20262,74923,54661,9850,2155601126.3949,1528827170288437262.1382,54662,15.8588,0.0005,0.0053
21005,57817,36812,29759,2131119197.7501,1542969570524914057.6731,36813,11.8027,0.0077,0.0004
1151,79259,78108,660,2155749405.406,1543562859592592141.1657,78109,11.5352,0.0015,0.0053
3720,37150,33430,9715,2143132020.9245,1541986069382898580.5825,33431,1.5531,0.0029,0.0009
18058,71568,53510,16123,2144402002.2667,1525513569500002520.562,53511,7.3644,0.004,0.0015
29598,54799,25201,16325,2159612013.1918,1529919810468987228.1807,25202,6.5017,0.0012,0.0061
23500,114682,91182,27919,2145654394.7469,1539439926354235615.9852,91183,4.7667,0.0018,0.0006
8301,55113,46812,2252,2138693661.8658,1538768567411334558.1867,46813,13.1969,0.0058,0.0008
19636,101062,81426,3224,2146211936.6532,1538545602561713010.3574,81427,6.8793,0.0017,0.0009
3962,23970,20008,24426,2162432288.5726,1526754385263018618.981,20009,8.5912,0.0013,0.0075
31564,51449,19885,1412,2167858413.8828,1534875495548816207.1714,19886,7.7284,0.001,0.009
29242,82615,53373,2404,2150001294.3024,1536545603001499396.1675,53374,3.937,0.0014,0.0033
13544,65706,52162,13008,2158900710.4008,1540255890332949188.5905,52163,8.7265,0.0004,0.0048
10758,90130,79372,17429,2146211983.5486,1532709579057445067.9203,79373,7.2038,0.0018,0.0011
30315,55625,25310,4556,2133600880.5452,1532731922915001724.9864,25311,7.4699,0.0077,0.0009
14268,18659,4391,26928,2116907552.1193,1559768507314982712.2271,4392,9.8294,0.0178,0.0035
8250,82012,73762,3896,2147211983.5165,1545610705940681464.5265,73763,11.9793,0.0022,0.0025
22147,75003,52856,26897,2148908460.166,1539162467965399597.602,52857,5.4625,0.002,0.0026
2918,76072,73154,4775,2145719422.4677,1529598336837918252.3807,73155,14.5672,0.003,0.0025
17101,74475,57374,17643,2148060242.7429,1531175518969805008.5123,57375,7.6272,0.0028,0.0024
29581,76971,47390,24104,2143014365.7697,1533294138885776139.1493,47391,8.4401,0.0041,0.001
23629,89668,66039,7968,2153032347.9945,1538263361093640740.6092,66040,19.5153,0.0011,0.0038
3256,21857,18601,18040,2126993518.1393,1542746608875428256.4524,18602,10.3836,0.0079,0.0004
13771,16720,2949,25230,2154051982.4302,1552266265101663617.1746,2950,2.6953,0.0058,0.0099
6956,33439,26483,16615,2146110816.7533,1538457140036864378.2377,26484,7.8598,0.0034,0.0021
14079,52693,38614,17354,2133611595.4755,1550390290657274139.1955,38615,13.3658,0.0063,0.0011
11037,95638,84601,16309,2135888560.031,1547630278571330780.096,84602,27.1988,0.0063,0.0007
20122,75795,55673,13560,2140455423.1893,1535065760315529286.6515,55674,2.8366,0.0031,0.0002
24555,39375,14820,29581,2153544818.8905,1535481648009337431.6908,14821,33.1123,0.0042,0.0088
27636,85044,57408,12815,2164723997.1337,1532585655652332799.1784,57409,17.1434,0.0008,0.0065
